No,Stock,Prev,Open,High,Low,Last,Chg,Chg %,Freq,TVol,TVal (K),
"0","AALI","11,150","11,150","11,325","11,025","11,075","-75","-0.67","1,260","9,645","10,732,872",
"1","ABBA","59","59","61","58","60","1","1.69","339","31,741","189,633",
"2","ABMM","710","710","710","700","710","0","0.00","19","229","16,237",
"3","ACES","1,615","1,635","1,690","1,625","1,655","40","2.48","4,640","163,727","27,265,619",
"4","ACST","370","370","388","368","388","18","4.86","3,060","411,825","15,644,049",
"5","ADES","1,580","1,580","1,600","1,575","1,575","-5","-0.32","56","456","72,452",
"6","ADHI","1,385","1,400","1,470","1,355","1,415","30","2.17","3,604","146,893","20,790,913",
"7","ADMF","8,400","8,400","8,400","8,350","8,400","0","0.00","106","722","606,270",
"8","ADMG","161","163","167","162","166","5","3.11","341","9,075","150,128",
"9","ADRO","1,200","1,200","1,210","1,175","1,190","-10","-0.83","7,753","543,189","64,638,802",
"10","AGAR","416","410","410","400","400","-16","-3.85","13","43","1,721",
"11","AGII","1,515","1,515","1,520","1,410","1,410","-105","-6.93","6,412","299,040","42,530,887",
"12","AGRO","805","820","845","755","845","40","4.97","9,255","797,684","64,263,532",
"13","AGRS","208","208","212","204","204","-4","-1.92","40","132","2,752",
"14","AHAP","59","59","59","57","57","-2","-3.39","12","300","1,711",
"15","AIMS","130","130","160","129","129","-1","-0.77","42","535","7,129",
"16","AISA","272","276","276","256","266","-6","-2.21","5,772","1,034,433","27,144,686",
"17","AKKU","50","50","50","50","50","0","0.00","3","22","110",
"18","AKPI","480","480","480","480","480","0","0.00","2","16","768",
"19","AKRA","3,240","3,250","3,340","3,220","3,340","100","3.09","7,069","287,936","94,662,180",
"20","AKSI","610","615","640","570","620","10","1.64","226","8,678","540,604",
"21","ALDO","428","440","460","428","454","26","6.07","22","115","5,030",
"22","ALKA","266","286","286","266","266","0","0.00","9","25","667",
"23","ALMI","266","266","266","258","258","-8","-3.01","10","128","3,383",
"24","ALTO","308","308","308","306","306","-2","-0.65","4","6","184",
"25","AMAG","224","220","230","218","224","0","0.00","26","341","7,691",
"26","AMAN","324","324","324","324","324","0","0.00","19","1,157","37,486",
"27","AMAR","248","248","260","248","260","12","4.84","64","20,977","535,134",
"28","AMFG","2,850","2,900","2,900","2,900","2,900","50","1.75","1","5","1,450",
"29","AMIN","270","254","258","254","258","-12","-4.44","3","3","77",
"30","AMOR","3,190","3,200","3,220","3,200","3,220","30","0.94","267","5,821","1,868,508",
"31","AMRT","785","785","795","780","785","0","0.00","115","1,298","101,902",
"32","ANDI","53","53","53","52","53","0","0.00","189","35,679","185,751",
"33","ANJT","625","625","625","610","610","-15","-2.40","6","8","493",
"34","ANTM","2,420","2,390","2,520","2,320","2,460","40","1.65","74,111","6,626,760","1,606,217,367",
"35","APEX","620","580","580","580","580","-40","-6.45","34","371","21,518",
"36","APIC","815","815","830","810","825","10","1.23","832","52,997","4,346,465",
"37","APII","172","172","180","169","174","2","1.16","51","465","8,064",
"38","APLI","196","196","196","196","196","0","0.00","3","7","137",
"39","APLN","163","164","169","162","167","4","2.45","1,075","300,247","4,982,989",
"40","ARGO","1,740","1,890","2,160","1,790","1,800","60","3.45","25","103","19,975",
"41","ARII","218","238","238","210","214","-4","-1.83","15","57","1,238",
"42","ARKA","50","50","50","50","50","0","0.00","86","31,914","159,570",
"43","ARNA","685","705","720","685","705","20","2.92","289","22,237","1,580,295",
"44","ARTA","250","252","252","252","252","2","0.80","1","1","25",
"45","ARTI","50","50","50","50","50","0","0.00","4","6","30",
"46","ARTO","7,100","7,200","7,225","7,075","7,125","25","0.35","782","12,549","8,946,195",
"47","ASDM","880","905","905","880","880","0","0.00","3","5","447",
"48","ASGR","795","795","805","790","790","-5","-0.63","34","207","16,436",
"49","ASII","5,975","6,075","6,250","5,950","6,200","225","3.77","8,020","403,128","247,572,637",
"50","ASJT","210","210","216","208","214","4","1.90","30","1,213","25,952",
"51","ASMI","945","945","950","945","950","5","0.53","6","48","4,547",
"52","ASPI","69","69","69","66","68","-1","-1.45","55","2,587","17,327",
"53","ASPI-W","7","8","8","8","8","1","14.29","6","666","532",
"54","ASRI","210","210","216","204","216","6","2.86","2,573","425,453","9,033,784",
"55","ASSA","840","850","865","810","845","5","0.60","1,087","78,850","6,658,594",
"56","ATAP","102","112","112","100","102","0","0.00","31","1,081","10,953",
"57","ATIC","700","660","690","660","690","-10","-1.43","4","21","1,389",
"58","AUTO","1,035","1,030","1,065","1,015","1,065","30","2.90","305","7,249","747,616",
"59","AYLS","50","50","50","50","50","0","0.00","2","10","50",
"60","AYLS-W","1","1","2","1","1","0","0.00","61","90,248","13,333",
"61","BABP","50","50","50","50","50","0","0.00","27","15,943","79,715",
"62","BABP-W3","1","18","18","18","18","17","1,700.00","1","1","1",
"63","BACA","380","380","382","380","382","2","0.53","8","18","685",
"64","BAJA","117","112","121","112","120","3","2.56","76","1,842","21,904",
"65","BALI","710","730","730","730","730","20","2.82","4","5","365",
"66","BANK","187","252","252","252","252","65","34.76","20","1,643","41,403",
"67","BANK-W","186","250","250","250","250","64","34.41","45","14,523","363,075",
"68","BAPI","50","50","50","50","50","0","0.00","5","10","50",
"69","BAPI-W","2","2","2","1","2","0","0.00","14","14,986","2,997",
"70","BATA","615","610","615","610","615","0","0.00","2","6","368",
"71","BAYU","1,055","1,055","1,055","1,055","1,055","0","0.00","2","2","211",
"72","BBCA","34,000","35,000","35,000","34,500","34,775","775","2.28","5,591","52,349","182,221,422",
"73","BBHI","660","700","820","695","785","125","18.94","3,381","132,115","10,188,888",
"74","BBKP","464","472","494","462","494","30","6.47","15,162","2,826,065","135,173,657",
"75","BBLD","276","276","282","270","282","6","2.17","36","3,111","85,997",
"76","BBNI","5,900","6,050","6,150","5,975","6,125","225","3.81","9,105","408,541","248,552,667",
"77","BBRI","4,360","4,480","4,480","4,360","4,440","80","1.83","11,718","530,512","234,457,453",
"78","BBRM","50","50","50","50","50","0","0.00","3","12","60",
"79","BBSI","1,425","1,475","1,780","1,330","1,425","0","0.00","1,258","14,228","2,263,875",
"80","BBSS","85","86","88","83","85","0","0.00","113","3,414","28,639",
"81","BBSS-W","3","3","3","2","3","0","0.00","19","2,070","514",
"82","BBTN","1,740","1,780","1,800","1,710","1,745","5","0.29","8,332","597,902","104,850,474",
"83","BBYB","328","328","354","320","342","14","4.27","187","7,217","246,413",
"84","BCAP","137","138","142","136","138","1","0.73","24,689","361,171","5,018,345",
"85","BCIP","58","58","60","57","59","1","1.72","62","4,812","28,063",
"86","BDMN","2,990","3,020","3,110","2,990","3,100","110","3.68","809","15,272","4,647,426",
"87","BEEF","132","134","143","127","132","0","0.00","2,694","257,875","3,471,596",
"88","BEKS","74","70","78","70","76","2","2.70","2,203","1,061,853","8,012,128",
"89","BELL","151","151","152","151","151","0","0.00","65","10,189","153,855",
"90","BESS","238","240","240","240","240","2","0.84","4","77","1,848",
"91","BESS-W","116","116","116","81","90","-26","-22.41","4","43","376",
"92","BEST","150","152","162","150","158","8","5.33","2,050","588,333","9,203,553",
"93","BFIN","680","695","695","680","690","10","1.47","850","133,763","9,196,254",
"94","BGTG","68","68","72","68","71","3","4.41","129","16,960","119,255",
"95","BHAT","670","675","690","665","665","-5","-0.75","3,312","1,840,509","125,077,318",
"96","BHIT","57","59","59","56","58","1","1.75","18,405","431,318","2,495,002",
"97","BIKA","175","175","185","168","174","-1","-0.57","8","18","312",
"98","BINA","860","860","890","840","875","15","1.74","210","9,542","824,373",
"99","BIPI","50","50","50","50","50","0","0.00","13","6,409","32,045",
"100","BIPI-W","9","9","9","9","9","0","0.00","3","5,050","4,545",
"101","BIPP","50","50","50","50","50","0","0.00","2","11","55",
"102","BIRD","1,280","1,300","1,310","1,250","1,285","5","0.39","507","16,274","2,089,889",
"103","BISI","1,125","1,165","1,170","1,130","1,130","5","0.44","79","2,004","227,502",
"104","BJBR","1,480","1,520","1,550","1,475","1,545","65","4.39","3,913","107,454","16,362,246",
"105","BJTM","755","760","795","755","785","30","3.97","5,324","341,179","26,609,944",
"106","BKDP","50","50","50","50","50","0","0.00","2","3","15",
"107","BKSL","50","50","50","50","50","0","0.00","39","9,280","46,400",
"108","BKSW","100","99","104","97","102","2","2.00","9","80","807",
"109","BLTA","50","50","50","50","50","0","0.00","4","112","560",
"110","BLUE","705","710","715","705","710","5","0.71","83","858","60,770",
"111","BMAS","340","340","340","334","334","-6","-1.76","4","31","1,036",
"112","BMRI","6,475","6,600","6,625","6,500","6,575","100","1.54","7,256","333,046","218,645,800",
"113","BMSR","76","76","76","72","76","0","0.00","15","1,173","8,561",
"114","BMTR","268","270","274","264","270","2","0.75","1,943","474,579","12,812,230",
"115","BNBA","428","428","444","428","438","10","2.34","108","1,972","86,406",
"116","BNBR","50","50","50","50","50","0","0.00","8","109","545",
"117","BNGA","905","915","975","900","965","60","6.63","1,530","80,022","7,535,315",
"118","BNII","318","324","372","320","366","48","15.09","4,975","706,543","25,057,274",
"119","BNLI","2,290","2,300","2,390","2,170","2,370","80","3.49","644","11,832","2,678,271",
"120","BOGA","1,320","1,320","1,340","1,320","1,325","5","0.38","1,507","400,128","53,299,213",
"121","BOLA","264","270","280","248","264","0","0.00","558","183,349","4,903,921",
"122","BOLT","770","770","770","720","720","-50","-6.49","38","92","6,688",
"123","BOSS","109","110","128","107","119","10","9.17","3,310","538,995","6,422,958",
"124","BPTR","76","76","80","76","79","3","3.95","17","186","1,469",
"125","BRAM","5,000","5,000","5,000","5,000","5,000","0","0.00","3","10","5,000",
"126","BRIS","2,610","2,610","2,770","2,500","2,770","160","6.13","42,394","2,048,041","538,240,658",
"127","BRMS","84","86","88","84","86","2","2.38","1,016","1,208,414","10,352,923",
"128","BRNA","1,175","1,170","1,170","1,100","1,150","-25","-2.13","22","22","2,457",
"129","BRPT","1,145","1,150","1,165","1,065","1,130","-15","-1.31","12,678","793,192","88,471,211",
"130","BRPT-W","975","945","955","945","955","-20","-2.05","3","15","1,425",
"131","BSDE","1,145","1,170","1,180","1,140","1,175","30","2.62","1,320","85,692","9,955,090",
"132","BSIM","570","570","580","560","580","10","1.75","22","95","5,415",
"133","BSIM-W3","14","14","15","14","15","1","7.14","5","133","193",
"134","BSSR","1,560","1,560","1,560","1,500","1,500","-60","-3.85","15","37","5,566",
"135","BTEK","50","50","50","50","50","0","0.00","2","6","30",
"136","BTON","306","306","306","306","306","0","0.00","1","1","30",
"137","BTPN","2,760","2,760","2,820","2,700","2,790","30","1.09","25","205","57,140",
"138","BTPS","3,600","3,600","3,690","3,600","3,630","30","0.83","2,186","39,179","14,311,749",
"139","BUDI","98","99","100","98","99","1","1.02","67","1,822","18,089",
"140","BUKK","850","850","855","850","855","5","0.59","5","12","1,021",
"141","BULL","366","366","372","364","370","4","1.09","3,557","2,299,337","84,581,990",
"142","BULL-W2","170","170","170","155","155","-15","-8.82","3","230","3,583",
"143","BUMI","63","65","65","59","63","0","0.00","8,782","7,981,722","50,188,853",
"144","BUVA","51","51","51","50","51","0","0.00","19","109","553",
"145","BVIC","113","113","117","113","116","3","2.65","47","1,479","16,947",
"146","BWPT","114","117","117","113","116","2","1.75","851","258,217","2,972,210",
"147","BYAN","14,500","14,500","14,500","14,500","14,500","0","0.00","3","4","5,800",
"148","CAKK","61","62","63","61","62","1","1.64","73","5,640","34,928",
"149","CAMP","232","234","248","230","246","14","6.03","1,520","125,903","3,038,277",
"150","CANI","492","540","615","458","458","-34","-6.91","287","3,526","189,710",
"151","CARE","306","306","316","304","306","0","0.00","2,829","1,135,427","35,383,958",
"152","CARS","50","50","50","50","50","0","0.00","4","8","40",
"153","CASA","356","356","356","356","356","0","0.00","2","19","676",
"154","CASH","330","332","356","298","310","-20","-6.06","125","6,301","193,405",
"155","CASH-W","6","6","6","4","6","0","0.00","13","1,656","858",
"156","CASS","228","228","230","218","228","0","0.00","38","2,456","54,446",
"157","CBMF","438","458","458","424","424","-14","-3.20","7","17","736",
"158","CCSI","228","228","230","220","226","-2","-0.88","59","1,909","42,622",
"159","CEKA","1,795","1,805","1,805","1,800","1,805","10","0.56","31","121","21,817",
"160","CENT","156","156","156","152","156","0","0.00","72","12,513","192,105",
"161","CFIN","234","236","240","228","240","6","2.56","81","9,737","227,756",
"162","CINT","220","218","220","218","220","0","0.00","2","3","65",
"163","CITA","2,720","2,720","2,720","2,620","2,620","-100","-3.68","14","73","19,704",
"164","CITY","179","189","189","168","185","6","3.35","29","218","3,804",
"165","CITY-W","59","65","65","41","49","-10","-16.95","27","708","3,466",
"166","CLAY","1,450","1,355","1,440","1,355","1,440","-10","-0.69","4","14","1,910",
