jenis_tanaman,nama_tanaman,luas_sisa_tanam_tahun_lalu,tambah_tanam,luas_tanaman,luas_panen_habis_tahun_laporan,produksi,sisa_tanaman,tanaman_yang _dibongkar,,
Sayuran,Kangkung,17,125,142,130.5,19575,11.5,,,
Sayuran,Sawi / Slada,18,85,103,96.5,15440,6.5,,,
Sayuran,Bayam,17,121,138,127.5,8925,10.5,,, 
Sayuran,KacangPanjang,2,0,2,2,340,0,,,
Sayuran,Mentimun,1,1,2,2,300,0,,,
Sayuran,Cabe Rawit,0,2,2,2,120,0,,,
Sayuran,Cabe Besar,0,0,0,0,0,0,,,
Sayuran,Terong,1,1,2,2,240,0,,,
Sayuran,Tomat,0,0,0,0,0,0,,,
Tanaman Hias,Anggrek,"4,556",50,,74,,"4,523",,,
Tanaman Hias,Anthuriumbunga,0,0,,0,,0,,,
Tanaman Hias,Gladiol,0,0,,0,,0,,,
Tanaman Hias,Garbela,0,0,,0,,0,,,
Tanaman Hias,Heliconia,9,20,,1,,29,,,
Tanaman Hias,Krisan,20,0,,0,,20,,,
Tanaman Hias,Mawar,539,4,,38,,473,,,
Tanaman Hias,SedapMalam,0,0,,0,,0,,,
Tanaman Hias,Dracena,54,0,,1,,43,,,
Tanaman Hias,Melati,149,2,,140,,140,,,
Tanaman Hias,Palem,"5,621",205,,267,,"5,398",,,
Tanaman Hias,Aglonema,"1,102",3,,45,,"1,015",,,
Tanaman Hias,KambojaJepang,"4,750",102,,137,,"4,431",,,
Tanaman Hias,Euphorbia,923,100,,124,,878,,,
Tanaman Hias,Phylodendron,"5,761",2005,,"2,014",,"7,110",,,
Tanaman Hias,Pakis,72,0,,10,,38,,,
Tanaman Hias,Monstera,40,0,,0,,0,,,
Tanaman Hias,Soka,"2,516",310,,335,,"2,227",,,
Tanaman Hias,Cordyline,0,0,,0,,0,,,
Tanaman Hias,Diffenbahia,9,0,,0,,9,,,
Tanaman Hias,Xansifera,"1,074",222,,227,,"1,022",,,
Tanaman Hias,Anthuriumdaun,80,0,,12,,74,,,
Tanaman Hias,Caladium,0,0,,0,,0,,,
Tanaman Produktif,Alpukat,289,5,,234,,,10,,
Tanaman Produktif,Belimbing,11.593,5,,"11,447",,,35,,
Tanaman Produktif,Durian,35,0,,17,,,2,,
Tanaman Produktif,JambuBiji,7.121,18,,"5,531",,,1526,,
Tanaman Produktif,Jambu Air / Jmbujamaika,32.229,45,,"17,872",,,"14,492",,
Tanaman Produktif,Jeruk Siam,913,0,,422,,,490,,
Tanaman Produktif,JerukBesar,131,0,,120,,,6,,
Tanaman Produktif,Mangga,92.8,23,,"92,662",,,50,,
Tanaman Produktif,Nangka,2.961,0,,"2,551",,,374,,
Tanaman Produktif,Pepaya,269,15,,278,,,13,,
Tanaman Produktif,Pisang,"2,148",15,,"2,105",,,63,,
Tanaman Produktif,Rambutan,636,0,,610,,,42,,
Tanaman Produktif,Sawo/SawoKecik,1.131,5,,"1,065",,,22,,
Tanaman Produktif,Melinjo,1.401,0,,"1,197",,,204,,
Tanaman Produktif,Sirsak,1.172,17,,"1,111",,,39,,
Tanaman Produktif,Sukun,666,2,,310,,,344,,
Tanaman Produktif,Anggur,17,0,,15,,,1,,
Tanaman Produktif,Manggis,255,0,,94,,,166,,
